0.005,  0.0499782 0.000538625 0.000759426     0.99875,     20 5.03142 5.01571,-0.00742635       6.284     3.14161,-0.000814156     0.230362     0.292623, -1.4901 0.962958  9.60534
0.01, 0.0499751 0.00107723 0.00151885   0.998749,19.9999 5.06284 5.03141,-0.0148523    6.28398    3.14044,-0.00162829    0.230353    0.292625,-1.49944 0.946529  9.44972
0.015, 0.0499699 0.00161581 0.00227829   0.998747,19.9998 5.09426 5.04711,-0.0222778    6.28395     3.1385,-0.00244238    0.230339    0.292627,-1.50848 0.930085  9.29417
0.02, 0.0499626 0.00215434 0.00303773   0.998744,19.9997 5.12568  5.0628,-0.0297029     6.2839    3.13579,-0.00325642    0.230319    0.292629,-1.51721 0.913631  9.13873
0.025, 0.0499533  0.0026928 0.00379717   0.998741,19.9995  5.1571 5.07847,-0.0371276    6.28383     3.1323,-0.00407037    0.230293    0.292633,-1.52563 0.897172  8.98344
0.03, 0.0499418 0.00323118 0.00455662   0.998737,19.9993 5.18852 5.09412,-0.0445518    6.28375    3.12804,-0.00488421    0.230261    0.292637,-1.53374 0.880712  8.82833
0.035, 0.0499284 0.00376946 0.00531608   0.998732,19.9991 5.21994 5.10975,-0.0519755    6.28366      3.123,-0.00569793    0.230224    0.292642,-1.54154 0.864257  8.67344
0.04, 0.0499128 0.00430762 0.00607555   0.998726,19.9988 5.25135 5.12535,-0.0593987    6.28355     3.1172,-0.00651151    0.230181    0.292647,-1.54904 0.847812  8.51881
0.045, 0.0498951 0.00484566 0.00683504   0.998719,19.9985 5.28277 5.14092,-0.0668214    6.28342    3.11063,-0.00732492    0.230132    0.292654,-1.55623 0.831382  8.36449
0.05, 0.0498754 0.00538354 0.00759454   0.998712,19.9981 5.31419 5.15645,-0.0742435    6.28328    3.10329,-0.00813815    0.230078    0.292661,-1.56311 0.814972   8.2105
0.055, 0.0498537 0.00592126 0.00835406   0.998704,19.9978  5.3456 5.17195,-0.0816651    6.28312    3.09518,-0.00895117    0.230017    0.292669, -1.5697 0.798586  8.05688
0.06, 0.0498298  0.0064588 0.00911359   0.998695,19.9973 5.37702  5.1874,-0.0890861    6.28295    3.08631,-0.00976396    0.229951    0.292678,-1.57598 0.782231  7.90368
0.065, 0.0498039 0.00699615 0.00987314   0.998686,19.9969 5.40843 5.20281,-0.0965065    6.28276    3.07668,-0.0105765    0.22988   0.292687,-1.58196 0.765909  7.75093
0.07, 0.0497759 0.00753327  0.0106327   0.998675,19.9964 5.43985 5.21817,-0.103926   6.28255   3.06629,-0.0113888   0.229802   0.292698,-1.58764 0.749628  7.59867
0.075, 0.0497458 0.00807017  0.0113923   0.998664,19.9958 5.47126 5.23347,-0.111345   6.28233   3.05514,-0.0122008   0.229719   0.292709,-1.59303  0.73339  7.44694
0.08, 0.0497137 0.00860683  0.0121519   0.998652,19.9952 5.50267 5.24872,-0.118764    6.2821   3.04324,-0.0130124    0.22963    0.29272,-1.59812 0.717202  7.29577
0.085, 0.0496795 0.00914322  0.0129116    0.99864,19.9946 5.53408  5.2639,-0.126182   6.28185   3.03059,-0.0138238   0.229536   0.292733,-1.60292 0.701068   7.1452
0.09, 0.0496432 0.00967933  0.0136713   0.998627, 19.994 5.56549 5.27902,-0.133599   6.28158   3.01719,-0.0146348   0.229435   0.292746,-1.60743 0.684993  6.99527
0.095,0.0496049 0.0102151  0.014431  0.998612,19.9933  5.5969 5.29407,-0.141015    6.2813   3.00305,-0.0154454   0.229329    0.29276,-1.61166 0.668982  6.84601
0.1,0.0495645 0.0107507 0.0151907  0.998598,19.9926  5.6283 5.30905,-0.148431     6.281   2.98817,-0.0162556   0.229218   0.292775, -1.6156 0.653039  6.69746
0.105,0.0495221 0.0112858 0.0159505  0.998582,19.9918 5.65971 5.32395,-0.155846   6.28069   2.97255,-0.0170655     0.2291   0.292791,-1.61926 0.637168  6.54967
0.11,0.0494775 0.0118207 0.0167103  0.998565, 19.991 5.69111 5.33877,-0.16326  6.28036  2.95619,-0.0178749   0.228977   0.292807,-1.62264 0.621376  6.40266
0.115, 0.049431 0.0123551 0.0174701  0.998548,19.9902 5.72251 5.35351,-0.170674   6.28001   2.93911,-0.0186838   0.228848   0.292824,-1.62575 0.605665  6.25647
0.12,0.0493824 0.0128892   0.01823   0.99853,19.9893 5.75391 5.36816,-0.178087   6.27965    2.9213,-0.0194922   0.228714   0.292842,-1.62859 0.590042  6.11114
0.125,0.0493317 0.0134229 0.0189899  0.998512,19.9884 5.78531 5.38272,-0.185499   6.27928   2.90277,-0.0203002   0.228574    0.29286,-1.63116  0.57451   5.9667
0.13, 0.049279 0.0139562 0.0197498  0.998492,19.9875  5.8167 5.39719,-0.19291  6.27889  2.88353,-0.0211077   0.228428   0.292879,-1.63347 0.559074  5.82318
0.135,0.0492242 0.0144891 0.0205098  0.998472,19.9865 5.84809 5.41155,-0.20032  6.27848  2.86357,-0.0219146   0.228276   0.292899,-1.63551 0.543738  5.68064
0.14,0.0491674 0.0150215 0.0212699  0.998451,19.9855 5.87949 5.42582,-0.20773  6.27806  2.84291,-0.0227209   0.228119    0.29292, -1.6373 0.528506  5.53909
0.145,0.0491085 0.0155535 0.0220299  0.998429,19.9844 5.91088 5.43998,-0.215138   6.27762   2.82154,-0.0235267   0.227956   0.292941,-1.63884 0.513384  5.39858
0.15,0.0490476  0.016085 0.0227901  0.998407,19.9833 5.94226 5.45403,-0.222546   6.27717   2.79948,-0.0243319   0.227787   0.292964,-1.64013 0.498375  5.25913
0.155,0.0489846  0.016616 0.0235502  0.998384,19.9822 5.97365 5.46797,-0.229953    6.2767   2.77673,-0.0251365   0.227613   0.292987,-1.64118 0.483483  5.12079
0.16,0.0489197 0.0171465 0.0243105   0.99836, 19.981 6.00503  5.4818,-0.237359   6.27622    2.7533,-0.0259404   0.227433    0.29301,-1.64199 0.468713  4.98358
0.165,0.0488526 0.0176765 0.0250708  0.998335,19.9798 6.03641 5.49551,-0.244764   6.27572   2.72918,-0.0267437   0.227247   0.293035,-1.64256 0.454068  4.84754
0.17,0.0487836 0.0182059 0.0258311  0.998309,19.9786 6.06779 5.50909,-0.252168    6.2752   2.70439,-0.0275462   0.227056    0.29306,-1.64291 0.439554  4.71271
0.175,0.0487125 0.0187348 0.0265915  0.998283,19.9773 6.09916 5.52255,-0.259571   6.27467   2.67894,-0.0283481   0.226859   0.293085,-1.64303 0.425173  4.57912
0.18,0.0486394 0.0192631 0.0273519  0.998256, 19.976 6.13053 5.53588,-0.266973   6.27413   2.65282,-0.0291493   0.226656   0.293112,-1.64293  0.41093  4.44679
0.185,0.0485642 0.0197908 0.0281124  0.998228,19.9746  6.1619 5.54907,-0.274374   6.27356   2.62605,-0.0299497   0.226448   0.293139,-1.64262 0.396829  4.31577
0.19,0.0484871 0.0203179 0.0288729    0.9982,19.9732 6.19327 5.56214,-0.281775   6.27299   2.59863,-0.0307494   0.226234   0.293167, -1.6421 0.382873  4.18608
0.195,0.0484079 0.0208444 0.0296336   0.99817,19.9718 6.22463 5.57506,-0.289174    6.2724   2.57057,-0.0315483   0.226014   0.293196,-1.64138 0.369066  4.05775
0.2,0.0483267 0.0213703 0.0303942   0.99814,19.9703 6.25599 5.58784,-0.296572   6.27179   2.54187,-0.0323464   0.225789   0.293225,-1.64046 0.355412  3.93083
0.205,0.0482435 0.0218955  0.031155  0.998109,19.9688 6.28735 5.60048,-0.303969   6.27116   2.51255,-0.0331437   0.225558   0.293255,-1.63935 0.341914  3.80533
0.21,0.0481583   0.02242 0.0319158  0.998078,19.9673  6.3187 5.61296,-0.311365   6.27053   2.48261,-0.0339401   0.225322   0.293286,-1.63805 0.328576   3.6813
0.215, 0.048071 0.0229439 0.0326766  0.998046,19.9657 6.35006  5.6253,-0.31876  6.26987  2.45206,-0.0347357   0.225079   0.293317,-1.63657 0.315402  3.55875
0.22,0.0479818  0.023467 0.0334376  0.998013,19.9641  6.3814 5.63748,-0.326154    6.2692    2.4209,-0.0355304   0.224832   0.293349,-1.63492 0.302395  3.43772
0.225,0.0478906 0.0239895 0.0341986  0.997979,19.9624 6.41275 5.64951,-0.333547   6.26852   2.38914,-0.0363242   0.224578   0.293382, -1.6331 0.289557  3.31825
0.23,0.0477973 0.0245112 0.0349597  0.997944,19.9608 6.44409 5.66137,-0.340939   6.26782    2.3568,-0.037117   0.22432  0.293416,-1.63111 0.276893  3.20035
0.235,0.0477021 0.0250321 0.0357208  0.997909, 19.959 6.47543 5.67308,-0.34833   6.2671  2.32387,-0.037909  0.224055   0.29345,-1.62898 0.264406  3.08406
0.24,0.0476049 0.0255523  0.036482  0.997873,19.9573 6.50676 5.68461,-0.355719   6.26637   2.29037,-0.0386999   0.223785   0.293485,-1.62669 0.252098   2.9694
0.245,0.0475057 0.0260718 0.0372433  0.997836,19.9555 6.53809 5.69598,-0.363107   6.26562   2.25631,-0.0394899   0.223509    0.29352,-1.62426 0.239972  2.85641
0.25,0.0474045 0.0265904 0.0380047  0.997798,19.9536 6.56942 5.70717,-0.370495   6.26486   2.22168,-0.0402789   0.223228   0.293557,-1.62169 0.228032  2.74511
0.255,0.0473014 0.0271082 0.0387661   0.99776,19.9518 6.60074 5.71819,-0.377881   6.26408   2.18651,-0.0410669   0.222941   0.293594,  -1.619 0.216281  2.63553
0.26,0.0471962 0.0276252 0.0395277  0.997721,19.9499 6.63206 5.72904,-0.385266   6.26329    2.1508,-0.0418538   0.222649   0.293631,-1.61618  0.20472   2.5277
0.265,0.0470891 0.0281413 0.0402893  0.997681,19.9479 6.66337  5.7397,-0.392649   6.26248   2.11457,-0.0426396   0.222351   0.293669,-1.61324 0.193354  2.42164
0.27,  0.04698 0.0286566  0.041051   0.99764,19.9459 6.69468 5.75018,-0.400032   6.26166    2.0778,-0.0434244   0.222048   0.293708, -1.6102 0.182184  2.31737
0.275, 0.046869  0.029171 0.0418127  0.997599,19.9439 6.72599 5.76048,-0.407413   6.26082   2.04053,-0.0442081   0.221739   0.293748,-1.60705 0.171212  2.21493
0.28, 0.046756 0.0296846 0.0425746  0.997557,19.9419 6.75729 5.77058,-0.414793   6.25996   2.00275,-0.0449906   0.221424   0.293788,-1.60381 0.160442  2.11434
0.285,0.0466411 0.0301972 0.0433365  0.997514,19.9398 6.78859  5.7805,-0.422172   6.25909   1.96448,-0.0457721   0.221104   0.293829,-1.60048 0.149876  2.01562
0.29,0.0465242 0.0307089 0.0440985  0.997471,19.9376 6.81988 5.79023,-0.429549   6.25821   1.92572,-0.0465523   0.220778    0.29387,-1.59707 0.139515   1.9188
0.295,0.0464054 0.0312197 0.0448607  0.997426,19.9355 6.85117 5.79976,-0.436925   6.25731   1.88649,-0.0473314   0.220447   0.293912,-1.59359 0.129363  1.82389
0.3,0.0462846 0.0317295 0.0456229  0.997381,19.9333 6.88245 5.80909,-0.4443 6.25639  1.8468,-0.0481093   0.220111   0.293955,-1.59004 0.119421  1.73093
0.305,0.0461619 0.0322383 0.0463852  0.997336, 19.931 6.91373 5.81823,-0.451674   6.25546   1.80664,-0.0488859   0.219769   0.293998,-1.58643 0.109691  1.63994
0.31,0.0460372 0.0327462 0.0471475  0.997289,19.9288 6.94501 5.82716,-0.459046   6.25451   1.76605,-0.0496614   0.219421   0.294042,-1.58277 0.100174  1.55093
0.315,0.0459107 0.0332531   0.04791  0.997242,19.9264 6.97628 5.83589,-0.466417   6.25355   1.72501,-0.0504355   0.219068   0.294087, -1.57906 0.0908741   1.46393
0.32,0.0457822 0.0337589 0.0486726  0.997194,19.9241 7.00754 5.84441,-0.473787   6.25257   1.68355,-0.0512084    0.21871   0.294132, -1.57532 0.0817913   1.37896
0.325,0.0456518 0.0342637 0.0494353  0.997145,19.9217  7.0388 5.85272,-0.481155   6.25158   1.64168,-0.05198 0.218346 0.294178, -1.57155 0.0729276   1.29605
0.33,0.0455194 0.0347675  0.050198  0.997095,19.9193 7.07006 5.86082,-0.488522   6.25057    1.5994,-0.0527503   0.217977   0.294225, -1.56776 0.0642845    1.2152
0.335,0.0453852 0.0352702 0.0509609  0.997045,19.9168 7.10131 5.86871,-0.495887   6.24955   1.55672,-0.0535192   0.217602   0.294272, -1.56395 0.0558635   1.13644
0.34,0.0452491 0.0357719 0.0517239  0.996994,19.9143 7.13255 5.87639,-0.503251   6.24851   1.51367,-0.0542868   0.217222   0.294319, -1.56014 0.0476659    1.0598
0.345,0.0451111 0.0362725 0.0524869  0.996943,19.9118 7.16379 5.88385,-0.510614   6.24745   1.47024,-0.055053  0.216836  0.294368,-1.55632 0.039693 0.985277
